Channel:Channel1
Capture Time:2025-01-14 13:43:34.429
Length:39300
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.719199872,-0.8
-3.718999872,0
-3.718799872,-0.8
-3.718599872,-0.8
-3.718399872,-0.8
-3.718199872,-0.8
-3.717999872,-0.8
-3.717799872,-0.8
-3.717599872,-0.8
-3.717399872,-0.8
-3.717199872,-0.8
-3.716999872,-0.8
-3.716799872,-0.8
-3.716599872,-0.8
-3.716399872,0
-3.716199872,-0.8
-3.715999872,0
-3.715799872,-0.8
-3.715599872,0
-3.715399872,0
-3.715199872,0
-3.714999872,0
-3.714799872,0
-3.714599872,0
-3.714399872,0
-3.714199872,0
-3.713999872,0
-3.713799872,0
-3.713599872,0
-3.713399872,0.8
-3.713199872,0.8
-3.712999872,0.8
-3.712799872,0.8
-3.712599872,0.8
-3.712399872,1.6
-3.712199872,0.8
-3.711999872,1.6
-3.711799872,1.6
-3.711599872,1.6
-3.711399872,1.6
-3.711199872,2.4
-3.710999872,2.4
-3.710799872,2.4
-3.710599872,1.6
-3.710399872,1.6
-3.710199872,1.6
-3.709999872,2.4
-3.709799872,2.4
-3.709599872,1.6
-3.709399872,1.6
-3.709199872,1.6
-3.708999872,1.6
-3.708799872,1.6
-3.708599872,1.6
-3.708399872,1.6
-3.708199872,1.6
-3.707999872,1.6
-3.707799872,2.4
-3.707599872,1.6
-3.707399872,1.6
-3.707199872,1.6
-3.706999872,0.8
-3.706799872,0.8
-3.706599872,0.8
-3.706399872,1.6
-3.706199872,1.6
-3.705999872,1.6
-3.705799872,1.6
-3.705599872,0.8
-3.705399872,0
-3.705199872,0.8
-3.704999872,0.8
-3.704799872,0.8
-3.704599872,0
-3.704399872,0.8
-3.704199872,0.8
-3.703999872,0
-3.703799872,0
-3.703599872,0
-3.703399872,0
-3.703199872,0
-3.702999872,0
-3.702799872,0
-3.702599872,0
-3.702399872,0
-3.702199872,0
