Channel:Channel1
Capture Time:2025-01-14 13:44:02.378
Length:39400
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.671,0.8
-3.6708,0.8
-3.6706,0.8
-3.6704,0
-3.6702,0.8
-3.67,0.8
-3.6698,0.8
-3.6696,0.8
-3.6694,0.8
-3.6692,0.8
-3.669,0.8
-3.6688,0
-3.6686,0
-3.6684,0
-3.6682,0
-3.668,0
-3.6678,0
-3.6676,0
-3.6674,0
-3.6672,0
-3.667,0
-3.6668,-0.8
-3.6666,-0.8
-3.6664,0
-3.6662,0
-3.666,-0.8
-3.6658,0
-3.6656,-0.8
-3.6654,-0.8
-3.6652,-0.8
-3.665,-0.8
-3.6648,-1.6
-3.6646,-0.8
-3.6644,-0.8
-3.6642,-0.8
-3.664,-0.8
-3.6638,-0.8
-3.6636,-0.8
-3.6634,-0.8
-3.6632,-0.8
-3.663,-0.8
-3.6628,-0.8
-3.6626,-0.8
-3.6624,-0.8
-3.6622,-0.8
-3.662,-0.8
-3.6618,0
-3.6616,0
-3.6614,-0.8
-3.6612,0
-3.661,0
-3.6608,0
-3.6606,0
-3.6604,0
-3.6602,0
-3.66,0
-3.6598,0
-3.6596,0
-3.6594,0
-3.6592,0
-3.659,0
-3.6588,0
-3.6586,0
-3.6584,0.8
-3.6582,0.8
-3.658,1.6
-3.6578,0.8
-3.6576,1.6
-3.6574,1.6
-3.6572,1.6
-3.657,1.6
-3.6568,1.6
-3.6566,2.4
-3.6564,1.6
-3.6562,2.4
-3.656,1.6
-3.6558,2.4
-3.6556,2.4
-3.6554,2.4
-3.6552,2.4
-3.655,2.4
-3.6548,2.4
-3.6546,2.4
-3.6544,1.6
-3.6542,1.6
-3.654,2.4
-3.6538,2.4
-3.6536,2.4
-3.6534,2.4
-3.6532,2.4
-3.653,2.4
-3.6528,2.4
-3.6526,2.4
